,Higher education [x],Vaccination [y]
0,35.2,67.5
1,12.9,45.0
2,10.9,95.0
3,15.1,36.7
4,22.5,50.0
5,14.2,44.3
6,12.9,45.7
7,15.1,55.2
8,15.2,43.4
9,18.4,39.6
10,25.8,46.8
11,18.0,52.6
12,18.8,53.2
13,13.6,39.9
14,38.8,72.5
15,31.1,44.0
16,26.6,33.1
17,14.5,49.9
18,17.6,76.2
19,31.9,51.3
20,15.1,33.9
21,24.0,45.5
22,26.0,56.8
23,25.8,57.3
24,10.2,47.3
25,37.6,64.4
26,19.9,59.1
27,18.9,48.6
28,12.3,46.8
29,25.6,66.8
30,16.6,73.8
31,15.2,61.5
32,28.6,55.4
33,23.2,59.9
34,14.4,31.7
35,23.2,86.1
36,34.7,64.8
37,36.1,69.4
38,46.8,62.7
39,58.6,73.9
40,16.0,41.2
41,25.2,41.4
42,25.7,54.9
43,59.4,71.8
44,21.2,49.3
45,15.1,50.5
46,16.9,50.1
47,11.9,32.2
48,19.7,53.6
49,14.7,51.4
50,27.6,60.8
51,19.1,39.8
52,15.5,42.2
53,19.1,41.6
54,25.6,40.4
55,24.1,40.7
56,17.7,45.6
57,31.4,55.1
58,35.5,64.4
59,24.0,81.9
60,16.5,75.8
61,16.0,57.2
62,14.9,40.1
63,12.5,46.5
64,49.3,76.1
65,28.2,53.9
66,16.5,51.8
67,22.6,53.4
68,21.8,46.4
69,18.5,40.1
70,37.5,64.7
71,13.1,54.5
72,15.0,36.3
73,15.6,45.3
74,19.3,53.6
75,18.0,37.3
76,21.4,63.9
77,33.3,22.6
78,32.1,82.7
79,15.4,39.9
80,40.8,59.5
81,16.7,49.2
82,30.1,67.1
83,25.8,74.5
84,37.4,80.5
85,22.7,54.0
86,32.3,60.6
87,15.6,50.6
88,35.8,75.8
89,24.4,50.3
90,15.3,44.2
91,15.9,37.9
92,16.9,62.5
93,27.1,68.6
94,23.0,42.3
95,14.0,41.2
96,20.6,57.7
97,20.3,56.2
98,12.8,31.5
99,22.1,57.5
100,13.4,38.1
101,60.8,81.3
102,26.2,67.0
103,14.4,36.3
104,14.9,53.4
105,13.8,46.3
106,11.1,54.4
107,32.1,59.1
108,16.0,36.7
109,38.3,69.2
110,23.1,53.5
111,16.5,53.3
112,20.4,39.9
113,35.9,76.2
114,19.1,61.4
115,15.2,44.1
116,15.0,40.6
117,19.7,49.6
118,13.7,72.1
119,18.6,40.7
120,25.4,58.3
121,27.8,59.4
122,25.6,63.9
123,23.2,37.2
124,7.0,29.4
125,17.3,46.2
126,13.9,43.3
127,25.1,50.7
128,22.3,52.8
129,37.2,59.4
130,23.8,55.0
131,31.7,59.1
132,20.9,42.5
133,38.9,63.6
134,18.1,51.7
135,20.8,57.5
136,15.4,43.9
137,27.7,66.4
138,52.4,83.3
139,11.0,56.9
140,22.7,42.8
141,27.5,46.5
142,23.1,45.5
143,16.8,54.5
144,40.4,65.2
145,26.9,43.8
146,16.3,37.9
147,24.2,49.6
148,10.4,22.2
149,28.3,44.5
150,16.7,46.6
151,15.0,45.3
152,10.5,39.2
153,53.1,80.0
154,18.9,63.1
155,13.1,37.1
156,24.5,53.6
157,14.0,41.1
158,25.4,50.9
159,45.2,80.8
160,21.2,41.0
161,30.3,65.5
162,26.2,85.3
163,13.7,46.5
164,25.3,46.3
165,23.0,44.6
166,19.3,76.1
167,31.4,57.1
168,20.4,48.5
169,21.6,39.7
170,22.4,45.7
171,21.8,42.5
172,11.7,54.1
173,14.3,38.1
174,22.7,47.7
175,30.2,56.9
176,32.0,66.9
177,16.6,18.0
178,34.3,62.5
179,20.2,40.3
180,18.3,42.3
181,39.7,57.9
182,18.9,56.0
183,23.9,44.4
184,31.9,53.8
185,21.2,45.4
186,12.6,41.2
187,40.9,70.0
188,15.6,46.3
189,15.9,34.1
190,24.0,63.4
191,10.8,41.9
192,18.4,46.8
193,11.2,36.5
194,33.4,62.2
195,24.6,46.6
196,23.1,54.2
197,13.6,32.7
198,8.6,41.3
199,18.5,53.2
200,14.6,48.7
201,26.4,45.0
202,20.2,67.9
203,15.9,39.2
204,47.7,73.9
205,18.4,47.7
206,11.8,42.3
207,19.2,59.7
208,44.6,64.1
209,14.0,47.2
210,15.9,39.5
211,26.0,44.8
212,23.8,63.2
213,16.8,43.0
214,22.7,45.8
215,9.4,42.8
216,15.8,46.5
217,21.6,79.5
218,28.6,48.7
219,24.1,57.4
220,12.9,45.4
221,11.5,35.8
222,19.6,78.0
223,43.0,57.4
224,16.8,52.1
225,21.2,40.8
226,15.2,51.5
227,13.0,40.2
228,14.5,62.6
229,33.8,42.1
230,14.0,33.2
231,12.5,39.1
232,16.4,49.1
233,36.9,70.3
234,3.4,40.6
235,18.2,44.0
236,22.9,55.5
237,11.9,39.1
238,16.9,61.7
239,32.6,49.1
240,21.3,46.8
241,42.6,70.1
242,14.5,57.5
243,29.0,58.3
244,18.7,48.9
245,61.2,83.7
246,8.7,39.0
247,21.7,71.9
248,28.5,62.4
249,20.1,54.2
250,11.3,40.0
251,25.2,52.2
252,18.6,45.1
253,18.7,36.8
254,16.5,41.0
255,32.6,54.7
256,12.0,42.0
257,56.6,83.8
258,10.6,41.1
259,20.8,46.0
260,15.7,95.0
261,27.6,50.9
262,21.9,39.5
263,20.9,38.9
264,29.9,68.6
265,18.9,54.6
266,26.0,63.8
267,13.5,43.8
268,20.6,47.3
269,9.5,46.0
270,38.6,56.8
271,20.5,47.8
272,9.1,56.1
273,20.5,48.5
274,27.1,59.0
275,19.0,39.4
276,21.4,38.5
277,22.5,45.4
278,15.8,47.3
279,12.9,43.7
280,20.6,62.2
281,15.1,41.2
282,29.5,47.4
283,13.8,38.5
284,33.2,56.3
285,33.5,87.2
286,46.6,57.0
287,24.4,47.9
288,17.0,45.2
289,18.3,57.8
290,14.8,73.3
291,13.5,44.3
292,32.1,57.7
293,15.2,54.6
294,11.6,37.5
295,15.7,43.2
296,18.2,43.7
297,20.0,42.4
298,19.4,22.0
299,14.5,74.6
300,18.3,43.8
301,19.2,58.1
302,7.8,50.9
303,20.1,77.6
304,20.9,95.0
305,18.5,40.7
306,12.9,46.5
307,31.4,68.1
308,26.1,53.7
309,12.4,57.8
310,19.2,59.2
311,11.7,31.9
312,22.7,46.9
313,18.8,41.4
314,14.9,53.1
315,20.2,44.5
316,22.5,57.0
317,19.7,54.4
318,23.9,78.2
319,15.8,39.2
320,25.3,49.7
321,11.1,80.8
322,30.7,68.1
323,36.4,55.9
324,17.0,45.1
325,48.4,58.8
326,44.8,70.5
327,25.5,52.1
328,17.3,44.8
329,20.5,46.8
330,13.8,38.7
331,20.6,54.7
332,50.3,77.5
333,9.6,37.9
334,15.7,40.1
335,19.5,95.0
336,32.6,56.9
337,21.1,48.8
338,11.8,42.1
339,11.6,47.9
340,20.8,57.6
341,19.0,49.3
342,15.4,50.4
343,18.7,56.3
344,18.6,43.6
345,17.4,39.1
346,11.1,71.6
347,14.7,21.5
348,10.7,37.5
349,38.4,50.7
350,31.3,48.4
351,12.8,25.4
352,11.7,33.1
353,20.1,51.7
354,19.9,52.4
355,16.0,44.0
356,36.6,62.9
357,21.8,67.3
358,11.7,39.3
359,27.3,55.0
360,11.0,38.8
361,15.6,41.4
362,14.0,34.2
363,18.2,41.9
364,20.6,53.8
365,18.8,48.1
366,16.2,48.9
367,43.7,64.4
368,33.5,72.7
369,39.2,57.3
370,18.8,38.8
371,21.4,51.2
372,32.5,63.3
373,25.3,46.6
374,17.5,45.3
375,23.3,50.7
376,17.3,43.1
377,13.2,44.3
378,27.2,57.8
379,29.0,33.2
380,12.1,47.5
381,7.7,44.4
382,15.1,39.2
383,15.4,56.3
384,22.5,44.1
385,22.0,69.3
386,15.1,52.0
387,15.9,41.5
388,27.6,79.5
389,19.2,39.9
390,27.2,51.0
391,25.5,76.3
392,10.4,18.2
393,26.6,47.9
394,16.2,42.4
395,21.8,45.0
396,18.6,46.8
397,13.6,46.0
398,17.8,47.2
399,21.0,50.8
400,31.1,61.7
401,34.1,54.2
402,39.4,84.7
403,17.8,48.3
404,23.2,55.4
405,18.9,51.3
406,21.7,55.7
407,22.1,53.2
408,13.8,41.3
409,21.1,41.2
410,16.3,77.3
411,18.2,57.7
412,28.8,68.8
413,36.0,30.6
414,22.1,43.6
415,22.6,48.3
416,19.9,60.0
417,20.6,69.2
418,14.8,46.5
419,22.3,47.0
420,14.7,51.3
421,33.0,60.4
422,19.6,46.9
423,42.2,74.3
424,24.2,43.1
425,19.3,35.1
426,28.0,66.9
427,18.0,60.7
428,21.8,69.2
429,18.8,49.8
430,21.8,50.6
431,25.3,59.1
432,19.3,38.0
433,21.0,59.3
434,11.1,35.2
435,18.4,58.7
436,21.4,42.7
437,18.6,43.2
438,19.2,41.8
439,24.1,63.4
440,15.7,58.1
441,19.2,55.5
442,20.3,35.0
443,22.3,52.9
444,20.7,60.8
445,9.8,45.3
446,28.2,57.7
447,35.5,52.4
448,17.6,49.2
449,38.5,58.6
450,13.4,39.2
451,49.5,67.9
452,29.5,43.7
453,20.9,48.0
454,21.5,50.8
455,9.0,33.2
456,23.5,48.5
457,13.5,64.3
458,15.1,56.7
459,34.2,84.9
460,19.5,54.1
461,18.3,36.1
462,13.0,34.8
463,58.8,84.0
464,13.4,47.5
465,30.4,58.1
466,10.7,54.4
467,15.8,49.5
468,15.1,42.0
469,20.5,48.7
470,23.9,59.5
471,17.0,45.4
472,29.7,51.8
473,23.6,61.0
474,16.8,41.5
475,12.9,37.6
476,17.3,48.7
477,38.8,60.6
478,16.5,46.3
479,36.3,73.2
480,14.6,48.5
481,24.9,50.1
482,20.2,32.7
483,17.1,48.2
484,17.4,48.3
485,51.2,62.8
486,17.9,42.0
487,19.5,53.2
488,12.3,35.1
489,31.7,57.6
490,24.6,59.3
491,23.0,48.3
492,18.7,25.8
493,29.5,76.3
494,17.7,45.3
495,11.1,42.5
496,28.9,43.2
497,22.5,52.7
498,16.8,50.0
499,15.4,40.8
500,15.4,45.6
501,15.7,52.5
502,15.4,75.4
503,38.4,54.0
504,32.4,56.1
505,18.9,58.5
506,38.5,75.1
507,20.2,52.8
508,22.7,50.1
509,31.1,37.3
510,11.4,48.4
511,23.9,82.0
512,26.2,71.0
513,15.0,33.4
514,46.7,82.8
515,21.1,59.6
516,44.9,76.7
517,29.2,57.3
518,18.5,45.0
519,29.8,72.5
520,26.7,54.3
521,25.7,76.0
522,12.3,49.5
523,24.3,47.2
524,11.8,40.5
525,26.6,36.1
526,34.8,68.3
527,10.8,50.2
528,10.8,33.3
529,17.2,51.2
530,17.0,47.4
531,19.7,34.4
532,18.6,41.9
533,21.1,41.3
534,16.0,39.3
535,25.6,55.7
536,32.1,51.9
537,24.6,56.9
538,28.0,50.5
539,43.7,64.8
540,47.2,39.6
541,19.7,57.5
542,19.1,51.3
543,11.2,51.3
544,22.6,43.6
545,40.7,82.3
546,28.8,64.0
547,22.1,66.9
548,26.3,47.2
549,29.1,40.5
550,19.7,53.4
551,20.8,50.5
552,16.5,36.1
553,19.1,44.7
554,17.7,53.0
555,12.4,37.3
556,15.8,44.1
557,18.9,53.5
558,27.3,64.3
559,25.0,63.4
560,11.4,40.5
561,34.6,53.2
562,19.2,41.8
563,21.7,37.4
564,16.3,54.0
565,17.6,51.7
566,29.9,57.9
567,22.5,69.1
568,20.9,25.5
569,11.5,55.2
570,31.7,64.8
571,11.3,64.5
572,62.1,77.7
573,20.6,62.1
574,12.0,43.7
575,19.3,55.1
576,25.3,60.2
577,21.0,41.4
578,28.2,48.7
579,26.2,73.3
580,57.1,80.3
581,20.7,41.2
582,30.3,71.1
583,16.1,40.9
584,12.7,49.9
585,20.4,55.7
586,12.9,53.7
587,12.4,43.5
588,34.1,54.2
589,50.0,64.0
590,49.1,67.7
591,22.2,50.7
592,25.4,42.2
593,14.9,34.4
594,15.3,56.6
595,27.6,34.6
596,18.4,47.1
597,19.4,46.8
598,21.0,42.3
599,18.6,56.3
600,33.9,64.5
601,13.0,41.4
602,46.0,78.9
603,15.3,55.7
604,14.3,42.2
605,20.4,42.2
606,43.3,65.7
607,42.2,81.9
608,36.8,50.8
609,18.4,49.5
610,15.7,38.7
611,18.3,39.6
612,20.7,31.9
613,17.4,45.5
614,35.8,68.7
615,21.9,63.1
616,23.2,52.4
617,21.1,59.7
618,10.2,38.2
619,16.4,42.3
620,23.9,63.1
621,17.5,40.8
622,22.7,41.8
623,22.3,44.2
624,22.9,49.6
625,19.3,48.1
626,20.6,42.3
627,13.7,40.6
628,25.9,55.0
629,24.4,54.5
630,23.1,26.5
631,23.6,53.4
632,21.7,50.1
633,16.6,42.2
634,23.5,49.9
635,9.3,35.8
636,24.1,31.1
637,51.9,63.5
638,12.2,37.5
639,30.7,50.4
640,26.9,63.5
641,17.1,46.5
642,21.6,26.0
643,55.1,93.3
644,14.4,47.2
645,16.1,52.1
646,23.3,59.9
647,12.5,46.2
648,8.7,21.9
649,24.1,19.7
650,14.6,40.7
651,26.3,78.6
652,24.0,68.1
653,39.8,73.2
654,40.3,59.1
655,16.3,32.5
656,22.0,56.5
657,21.9,38.9
658,23.4,68.8
659,19.6,45.0
660,18.9,56.7
661,21.6,49.8
662,23.5,50.2
663,14.1,40.5
664,30.9,66.4
665,19.6,49.3
666,24.8,52.9
667,23.6,47.0
668,11.4,32.1
669,28.7,88.6
670,10.5,48.5
671,21.9,41.1
672,23.2,61.3
673,23.8,35.8
674,23.9,52.3
675,14.4,46.8
676,24.3,56.1
677,28.5,63.5
678,23.6,43.3
679,12.5,36.4
680,12.6,48.4
681,32.1,55.3
682,32.3,77.9
683,32.4,64.4
684,20.5,49.6
685,12.9,40.7
686,49.6,78.4
687,21.2,53.1
688,14.8,48.8
689,23.4,50.4
690,21.4,52.2
691,17.4,40.0
692,20.3,36.4
693,12.6,37.1
694,16.4,48.8
695,23.1,59.2
696,16.3,56.5
697,20.2,49.6
698,14.5,34.3
699,24.8,42.4
700,20.1,47.4
701,19.8,45.6
702,15.9,52.5
703,18.2,42.4
704,13.3,36.8
705,60.3,68.1
706,42.1,76.4
707,12.0,51.0
708,24.2,61.8
709,20.5,95.0
710,18.9,32.8
711,25.8,45.1
712,17.4,43.4
713,30.5,54.9
714,19.5,43.4
715,20.8,37.1
716,14.5,38.3
717,34.1,52.9
718,16.7,44.7
719,23.6,54.4
720,22.9,64.7
721,18.4,51.3
722,60.5,66.7
723,11.5,33.4
724,29.2,66.6
725,28.4,46.4
726,37.2,78.5
727,17.3,49.5
728,32.9,64.7
729,41.0,63.7
730,21.2,50.5
731,16.1,46.6
732,27.0,95.0
733,34.5,68.9
734,19.4,60.7
735,16.5,48.4
736,44.4,64.6
737,21.6,38.5
738,16.5,53.6
739,16.1,57.0
740,24.3,41.0
741,48.0,66.6
742,10.3,54.0
743,13.3,42.3
744,20.6,58.5
745,26.6,61.3
746,13.2,32.8
747,13.0,44.2
748,14.8,52.6
749,13.6,41.6
750,16.9,41.4
751,42.5,77.2
752,22.0,46.8
753,14.5,40.3
754,30.9,47.0
755,31.0,72.5
756,19.2,41.9
757,33.9,64.1
758,32.2,38.9
759,17.0,70.9
760,26.5,30.8
761,24.0,54.4
762,10.8,29.6
763,28.6,71.9
764,28.8,55.8
765,25.6,55.9
766,21.1,57.9
767,12.3,41.2
768,14.7,65.1
769,45.0,65.4
770,13.7,45.2
771,15.6,39.5
772,31.4,46.0
773,29.3,30.3
774,22.9,55.8
775,26.2,21.2
776,43.7,47.3
777,12.1,47.7
778,35.3,72.3
779,24.6,24.7
780,10.5,37.6
781,15.4,27.4
782,9.5,44.8
783,16.5,46.3
784,14.9,45.0
785,42.9,59.2
786,13.4,47.7
787,15.0,37.7
788,22.2,47.1
789,32.8,71.2
790,14.2,66.0
791,28.4,49.1
792,9.2,27.0
793,23.8,44.0
794,27.4,43.4
795,21.1,51.7
796,14.2,43.1
797,32.2,64.5
798,15.2,41.9
799,25.3,54.6
800,21.7,55.4
801,51.7,82.4
802,13.6,42.0
803,13.9,53.1
804,27.2,34.0
805,19.3,52.6
806,10.4,59.1
807,21.3,54.7
808,11.4,35.9
809,25.0,50.8
810,14.0,47.6
811,27.6,38.3
812,19.9,46.5
813,19.6,26.2
814,31.6,64.0
815,18.6,52.8
816,14.3,38.2
817,19.2,64.7
818,6.7,65.0
819,11.3,67.6
820,21.3,39.7
821,19.1,47.3
822,10.1,35.5
823,11.4,35.2
824,22.1,43.4
825,33.9,60.2
826,42.5,70.5
827,30.5,63.8
828,15.9,36.1
829,13.6,53.0
830,20.5,55.8
831,15.1,42.4
832,40.1,66.2
833,27.1,46.8
834,5.2,38.2
835,11.8,38.8
836,34.3,56.8
837,20.6,44.2
838,15.6,61.6
839,20.7,61.9
840,37.8,49.5
841,11.8,48.1
842,18.8,52.5
843,37.0,72.5
844,30.3,52.4
845,21.3,43.9
846,8.5,39.4
847,26.7,65.4
848,15.6,43.7
849,36.5,51.1
850,27.4,50.2
851,24.7,38.3
852,21.4,60.7
853,26.2,60.6
854,19.2,43.6
855,22.1,35.9
856,17.6,54.5
857,13.9,49.7
858,18.2,48.4
859,50.5,67.3
860,14.9,44.6
861,22.7,51.2
862,12.3,47.0
863,19.8,64.3
864,34.1,37.8
865,32.0,64.9
866,13.4,30.8
867,16.6,51.1
868,17.9,44.9
869,25.2,45.6
870,27.8,59.1
871,14.8,57.3
872,34.4,70.6
873,22.1,54.3
874,16.1,43.6
875,17.8,56.9
876,12.5,45.0
877,13.3,37.6
878,15.2,44.0
879,23.5,51.5
880,35.6,62.9
881,18.1,51.9
882,17.4,55.0
883,28.8,51.5
884,10.8,53.4
885,41.3,59.4
886,13.5,42.1
887,19.8,52.9
888,16.3,61.8
889,23.7,64.6
890,11.9,45.2
891,20.6,52.7
892,10.5,36.0
893,14.8,33.1
894,17.7,34.2
895,21.3,52.4
896,13.2,56.4
897,35.2,43.5
898,14.9,44.0
899,12.4,46.5
900,14.2,46.5
901,25.2,59.8
902,33.6,40.0
903,19.0,42.3
904,18.3,45.5
905,36.8,61.7
906,27.0,43.3
907,27.0,53.6
908,16.2,54.4
909,17.2,45.1
910,15.0,37.7
911,29.8,62.9
912,24.5,48.8
913,54.6,79.8
914,20.3,36.6
915,21.1,31.3
916,23.5,42.1
917,21.3,54.8
918,17.2,33.6
919,22.0,45.7
920,24.1,60.0
921,41.4,63.8
922,22.7,55.7
923,25.9,45.5
924,12.9,48.7
925,14.8,41.7
926,18.9,61.6
927,26.6,42.3
928,37.3,76.4
929,25.6,61.7
930,23.7,47.4
931,24.2,57.1
932,18.8,33.4
933,47.3,68.8
934,16.0,52.6
935,30.7,36.9
936,14.8,41.6
937,11.7,60.6
938,41.7,79.1
939,19.4,50.0
940,14.6,51.3
941,13.1,37.4
942,22.0,52.5
943,54.0,75.3
944,22.3,49.0
945,15.8,46.3
946,22.7,53.3
947,34.1,49.0
948,10.3,36.4
949,48.1,88.5
950,22.1,73.7
951,21.7,39.3
952,17.2,49.1
953,16.1,52.9
954,19.8,57.0
955,15.4,45.8
956,51.6,59.6
957,37.4,71.0
958,23.6,61.3
959,17.1,75.0
960,15.1,45.1
961,23.5,55.3
962,15.5,54.3
963,14.9,48.0
964,19.5,45.3
965,18.3,54.8
966,23.2,62.7
967,15.5,43.1
968,18.3,55.7
969,24.5,37.0
970,24.1,30.4
971,11.8,42.3
972,22.1,66.7
973,16.1,35.1
974,58.7,65.3
975,15.0,36.2
976,16.2,50.4
977,18.0,57.6
978,20.1,48.5
979,49.7,82.4
980,30.5,58.1
981,52.6,74.4
982,24.9,59.8
983,25.6,56.2
984,22.5,57.5
985,15.1,46.2
986,35.2,50.8
987,31.3,60.3
988,12.6,48.7
989,23.5,89.8
990,32.6,61.5
991,11.1,46.8
992,23.0,27.7
993,20.7,57.8
994,21.7,48.1
995,22.2,54.3
996,26.8,51.4
997,20.0,58.6
998,14.8,54.6
999,20.1,50.1
1000,22.5,85.3
1001,15.5,45.9
1002,20.1,54.9
1003,30.9,44.8
1004,37.8,61.9
1005,17.9,62.3
1006,18.8,42.2
1007,18.8,58.9
1008,39.2,72.8
1009,18.4,51.9
1010,27.7,51.7
1011,26.4,65.9
1012,16.4,83.6
1013,22.9,44.7
1014,25.7,41.5
1015,15.3,49.3
1016,24.2,55.5
1017,15.3,36.8
1018,12.4,48.2
1019,55.5,75.7
1020,33.5,64.0
1021,16.1,90.0
1022,25.8,52.5
1023,17.9,61.2
1024,17.9,37.1
1025,14.7,35.1
1026,18.7,44.3
1027,18.9,40.8
1028,20.0,58.4
1029,17.5,49.6
1030,28.5,47.0
1031,27.7,66.2
1032,21.5,55.9
1033,22.4,51.5
1034,37.5,64.2
1035,20.8,41.6
1036,33.8,45.0
1037,17.2,38.5
1038,17.1,54.1
1039,19.5,61.0
1040,21.1,47.8
1041,12.4,36.5
1042,12.9,57.3
1043,23.8,64.0
1044,20.8,32.1
1045,16.7,48.0
1046,15.0,43.4
1047,6.9,26.2
1048,30.8,53.3
1049,16.3,43.6
1050,20.5,59.2
1051,15.4,35.3
1052,22.5,47.8
1053,15.5,42.2
1054,13.3,36.6
1055,18.5,43.0
1056,18.2,46.6
1057,12.3,45.6
1058,11.3,36.5
1059,43.3,82.2
1060,11.5,22.7
1061,17.7,57.8
1062,15.6,41.2
1063,13.2,52.5
1064,33.8,60.9
1065,12.6,45.5
1066,15.2,32.9
1067,22.8,90.5
1068,12.6,41.6
1069,11.8,49.6
1070,19.1,53.3
1071,22.8,45.9
1072,24.0,63.9
1073,24.5,56.8
1074,19.4,39.7
1075,24.8,48.5
1076,13.9,42.2
1077,33.1,71.8
1078,22.1,42.9
1079,18.9,48.9
1080,20.6,39.3
1081,23.0,58.3
1082,19.1,25.1
1083,20.0,61.6
1084,25.5,52.6
1085,14.8,42.8
1086,33.5,59.3
1087,61.6,73.6
1088,32.8,54.5
1089,23.1,59.8
1090,9.3,46.7
1091,19.1,37.0
1092,18.0,55.9
1093,18.6,52.3
1094,9.2,48.8
1095,25.2,58.1
1096,22.6,43.6
1097,9.5,39.0
1098,18.1,53.8
1099,38.2,67.3
1100,15.9,38.2
1101,19.5,50.8
1102,23.1,44.0
1103,32.1,57.7
1104,16.3,43.2
1105,37.2,69.6
1106,15.5,41.7
1107,20.1,50.0
1108,18.9,76.4
1109,12.7,42.7
1110,23.7,63.0
1111,19.8,49.6
